 #dectime HR   MN      Qh          Qe           T         H20         WS          DIR           P         Kdn         Ldn       Qstar    
   #units  h    m    W|m2        W|m2        degC        g|m3        m|s          deg         hPa        W|m2        W|m2        W|m2     
 172.7708  18  30  344.38      24.234      23.174      9.3960      1.9770      234.82      1008.7      448.15      322.42      243.67    
 172.7917  19   0  225.56     -2.8320      22.948      9.6070      1.6290      247.21      1008.7      380.35      323.22      189.63    
 172.8125  19  30  317.44      106.95      22.987      10.052      1.4900      249.46      1008.8      258.95      320.83      91.148    
 172.8333  20   0  141.35     -34.194      22.794      10.732      1.5820      235.09      1009.0      164.05      319.54      13.057    
 172.8542  20  30  124.28     -19.280      22.459      11.381      1.7110      215.76      1009.3      89.800      317.01     -44.539    
 172.8750  21   0  114.59      2.6420      22.632      11.460      1.4710      217.93      1009.3      40.435      317.07     -75.534    
 172.8958  21  30  49.368      24.141      22.934      11.072      1.0330      210.34      1009.3      6.3430      317.41     -93.858    
 172.9167  22   0  45.417      29.497      23.392      10.803     0.69800      174.88      1009.3     -2.4100      319.23     -98.193    
 172.9375  22  30  36.817      4.5750      23.114      11.048      2.0390      156.38      1009.5     -2.6150      318.62     -95.567    
 172.9583  23   0  16.752      24.416      23.286      10.897      1.6540      154.54      1009.6     -2.5130      318.43     -94.728    
 172.9792  23  30  23.844      10.001      23.459      10.516      1.7870      147.99      1009.5     -2.3370      317.87     -94.461    
 173.0000   0   0  36.328     -5.9770      23.585      10.309      1.1400      147.84      1009.4     -2.7240      318.34     -94.128    
 173.0208   0  30  28.484      5.1380      23.493      10.082      1.0890      155.25      1009.4     -2.7220      318.25     -93.260    
 173.0417   1   0  45.091     -10.368      23.121      10.133      1.4800      151.37      1009.3     -2.7760      316.27     -93.076    
 173.0625   1  30  10.299      4.9670      22.770      10.464      1.0740      126.38      1009.2     -2.7980      315.02     -91.985    
 173.0833   2   0  30.909      9.3320      22.385      10.589      1.1850      132.76      1009.0     -2.7100      315.69     -89.636    
 173.1042   2  30  11.004      9.3390      21.956      10.476      1.1690      111.50      1009.0     -2.6990      313.89     -89.221    
 173.1250   3   0  5.9520      2.3620      21.738      10.263      1.3130      122.68      1008.9     -2.3460      313.60     -87.900    
 173.1458   3  30  18.804      2.1080      21.805      10.283     0.75000      140.93      1008.8     -2.4290      313.27     -88.224    
 173.1667   4   0  19.375      1.5440      21.703      10.298     0.83200      139.81      1008.7     -2.3990      312.05     -88.669    
 173.1875   4  30 -0.4770      2.7160      22.046      10.279     0.35200      149.70      1008.6     -2.3230      312.86     -88.398    
 173.2083   5   0 -12.585    -0.64100      22.236      10.398     0.27700      295.31      1008.5     -2.4470      311.45     -89.687    
 173.2292   5  30 -16.390     -7.2470      21.666      10.533     0.39700      223.80      1008.5     -3.0490      307.15     -91.542    
 173.2500   6   0 -2.6810      2.2700      21.500      10.354     0.49100      273.17      1008.6    -0.69100      304.61     -90.684
 173.2708   6  30  14.340      6.1200      21.442      10.325     0.32800      238.68      1008.8      21.550      301.08     -76.399
 173.2917   7   0  27.848      1.8770      20.354      10.245      1.2400      128.46      1009.0      85.385      296.35     -30.165
 173.3125   7  30  7.1480      21.903      21.473      10.234     0.31100      17.350      1009.1      164.55      297.81      29.215    
 173.3333   8   0  32.583      38.918      22.774      10.124      1.9900      328.02      1009.2      254.75      302.21      99.585    
 173.3542   8  30  54.615      10.185      22.990      10.160      2.5860      324.50      1009.4      345.10      304.80      171.57    
 173.3750   9   0  74.960      21.702      23.169      10.337      1.6290      300.46      1009.6      431.30      309.24      240.38    
 173.3958   9  30  132.73      21.332      23.748      10.417      1.5650      253.24      1009.7      520.80      314.70      311.02    
 173.4167  10   0  230.20      44.146      24.146      10.652      1.9870      251.10      1009.7      609.60      317.84      378.59    
